language,url
bash,https://en.wikipedia.org/wiki/Bash_(Unix_shell)
c,https://en.wikipedia.org/wiki/C_(programming_language)
chapel,https://en.wikipedia.org/wiki/Chapel_(programming_language)
clojure,https://en.wikipedia.org/wiki/Clojure
clojurescript,https://en.wikipedia.org/wiki/Clojure#ClojureScript
coffeescript,https://en.wikipedia.org/wiki/CoffeeScript
common-lisp,https://en.wikipedia.org/wiki/Common_Lisp
cpp,https://en.wikipedia.org/wiki/C%2B%2B
crystal,https://en.wikipedia.org/wiki/Crystal_(programming_language)
csharp,https://en.wikipedia.org/wiki/C_Sharp_(programming_language)
d,https://en.wikipedia.org/wiki/D_(programming_language)
dart,https://en.wikipedia.org/wiki/Dart_(programming_language)
elixir,https://en.wikipedia.org/wiki/Elixir_(programming_language)
erlang,https://en.wikipedia.org/wiki/Erlang_(programming_language)
fish,https://en.wikipedia.org/wiki/Fish_(Unix_shell)
fortran,https://en.wikipedia.org/wiki/Fortran
freebasic,https://en.wikipedia.org/wiki/FreeBASIC
fsharp,https://en.wikipedia.org/wiki/F_Sharp_(programming_language)
gambas,https://en.wikipedia.org/wiki/Gambas
go,https://en.wikipedia.org/wiki/Go_(programming_language)
groovy,https://en.wikipedia.org/wiki/Apache_Groovy
hack,https://en.wikipedia.org/wiki/Hack_(programming_language)
haskell,https://en.wikipedia.org/wiki/Haskell
java,https://en.wikipedia.org/wiki/Java_(programming_language)
javascript,https://en.wikipedia.org/wiki/JavaScript
julia,https://en.wikipedia.org/wiki/Julia_(programming_language)
kotlin,https://en.wikipedia.org/wiki/Kotlin_(programming_language)
livescript,https://en.wikipedia.org/wiki/LiveScript_(programming_language)
lua,https://en.wikipedia.org/wiki/Lua_(programming_language)
nim,https://en.wikipedia.org/wiki/Nim_(programming_language)
ocaml,https://en.wikipedia.org/wiki/OCaml
octave,https://en.wikipedia.org/wiki/GNU_Octave
pascal,https://en.wikipedia.org/wiki/Free_Pascal
perl,https://en.wikipedia.org/wiki/Perl
pharo,https://en.wikipedia.org/wiki/Pharo
php,https://en.wikipedia.org/wiki/PHP
powershell,https://en.wikipedia.org/wiki/PowerShell
python,https://en.wikipedia.org/wiki/Python_(programming_language)
r,https://en.wikipedia.org/wiki/R_(programming_language)
racket,https://en.wikipedia.org/wiki/Racket_(programming_language)
raku,https://en.wikipedia.org/wiki/Raku_(programming_language)
rescript,https://en.wikipedia.org/wiki/Reason_(programming_language)#ReScript
ruby,https://en.wikipedia.org/wiki/Ruby_(programming_language)
rust,https://en.wikipedia.org/wiki/Rust_(programming_language)
scala,https://en.wikipedia.org/wiki/Scala_(programming_language)
scheme,https://en.wikipedia.org/wiki/MIT/GNU_Scheme
smalltalk,https://en.wikipedia.org/wiki/GNU_Smalltalk
swift,https://en.wikipedia.org/wiki/Swift_(programming_language)
typescript,https://en.wikipedia.org/wiki/TypeScript
v,https://en.wikipedia.org/wiki/V_(programming_language)
vala,https://en.wikipedia.org/wiki/Vala_(programming_language)
vbnet,https://en.wikipedia.org/wiki/Visual_Basic_.NET
zig,https://en.wikipedia.org/wiki/Zig_(programming_language)
