language,year
bash,1989
c,1972
chapel,2009
clojure,2007
clojurescript,2011
coffeescript,2009
common-lisp,1984
cpp,1985
crystal,2014
csharp,2000
d,2001
dart,2011
elixir,2012
erlang,1986
fish,2005
fortran,1957
freebasic,2004
fsharp,2005
gambas,1999
go,2009
groovy,2003
hack,2014
haskell,1990
java,1995
javascript,1995
julia,2012
kotlin,2011
livescript,2011
lua,1993
nim,2008
ocaml,1996
octave,1988
pascal,1970
perl,1987
pharo,2008
php,1995
powershell,2006
python,1990
r,1993
racket,1995
raku,2015
rescript,2020
ruby,1995
rust,2010
scala,2004
scheme,1975
smalltalk,1972
swift,2014
typescript,2012
v,2019
vala,2006
vbnet,2001
zig,2016
